,source,author,title,description,url,urlToImage,publishedAt,content
17,"{'id': None, 'name': 'CBS Sports'}",,"How Celtics grew into NBA's most resilient team, going from 'lowest moment' in January to Finals in June - CBS Sports","The Celtics are 6-0 following a loss in the playoffs, and are 3-0 in elimination games",https://www.cbssports.com/nba/news/how-celtics-grew-into-nbas-most-resilient-team-going-from-lowest-moment-in-january-to-finals-in-june/,https://sportshub.cbsistatic.com/i/r/2022/05/30/53d4b14f-ecdd-4b71-8b5a-be7b1877ea43/thumbnail/1200x675/6a6078318ed6c0fecac97b588627013b/celtics-getty-2.png,2022-05-31T13:43:00Z,"On Jan. 6, the Boston Celtics blew a 25-point lead to the New York Knicks, and lost in heartbreaking fashion when RJ Barrett banked in a 3-pointer at the buzzer. That was the Celtics' fifth loss in s… [+4958 chars]"
18,"{'id': None, 'name': 'News-Medical.Net'}",,New digital tool provides effective support for the treatment of pediatric obesity - News-Medical.Net,A mobile app that shows a child's weight development in real-time for children with obesity provides greater weight loss compared to conventional care.,https://www.news-medical.net/news/20220531/New-digital-tool-provides-effective-support-for-the-treatment-of-pediatric-obesity.aspx,https://d2jx2rerrg6sh3.cloudfront.net/image-handler/picture/2016/3/Children_playing_sunset_-_Zurijeta_8c5bdac77e44431bb1bfec67b9c87208-620x480.jpg,2022-05-31T13:36:00Z,A mobile app that shows a child's weight development in real-time for children with obesity provides greater weight loss compared to conventional care. The fact that both families and healthcare prof… [+4319 chars]
19,"{'id': None, 'name': 'The Guardian'}",Peter Beaumont,"Stay in cellars, civilians told as half of Sievierodonetsk falls to Russia - The Guardian","Mayor says 13,000 people remain in Ukrainian city as Russian forces advance ‘block by block’",https://amp.theguardian.com/world/2022/may/31/russian-forces-sievierodonetsk-ukraine-fighting-city,https://i.guim.co.uk/img/media/b9f9b344aa784ce9bcbc634d6b7385690bb7415c/0_374_5616_3370/master/5616.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=bd45b29195426a02218fbb2a67935988,2022-05-31T13:35:00Z,"Russian forces have taken about half of Sievierodonetsk in eastern Ukraine, its mayor has said, as heavy fighting continued in and around the key city and civilians were told to stay underground.
Ol… [+4434 chars]"
20,"{'id': None, 'name': 'SportsLine'}",,"2022 French Open men's quarterfinal props, picks: Uncanny tennis expert reveals selections for Tuesday's Djokovic vs. Nadal matchup - SportsLine.com - SportsLine",Two of the greatest men's tennis players of all-time -- Rafael Nadal and Novak Djokovic -- collide in a blockbuster quarterfinal match on Tuesday...,https://www.sportsline.com/insiders/2022-french-open-mens-quarterfinal-props-picks-uncanny-tennis-expert-reveals-selections-for-tuesdays-djokovic-vs-nadal-matchup/,https://splnhub.cbsistatic.com/i/2019/06/08/ea9b2926-27b2-4d5d-b92a-c554dc040b5e/nadalprism-1.jpg,2022-05-31T13:31:00Z,Two of the greatest men's tennis players of all-time -- Rafael Nadal and Novak Djokovic -- collide in a blockbuster quarterfinal match on Tuesday at the 2022 French Open at Roland Garros in Paris. Na… [+1377 chars]
21,"{'id': None, 'name': 'The Punch'}",Abiodun Sanusi,"Okorocha yet to meet bail conditions, may miss presidential screening - Punch Newspapers","Okorocha yet to meet bail conditions, may miss presidential screening",https://punchng.com/okorocha-yet-to-meet-bail-conditions-may-miss-presidential-screening/,https://cdn.punchng.com/wp-content/uploads/2022/05/31044157/Okorocha-in-court.jpg,2022-05-31T13:30:52Z,"The Economic and Financial Crimes Commission has said that the embattled former Imo State Governor, Rochas Okorocha, is still under the custody of the agency.
The agency said the senator will be rel… [+1771 chars]"
22,"{'id': 'google-news', 'name': 'Google News'}",,Dólar abre con una caída de 103 pesos tras resultados electorales - El Tiempo,Use the Rich Result Test to see what Google results can be generated for your pages and the schema markup validator for generic schema validation.,https://developers.google.com/search/docs/advanced/structured-data,https://developers.google.com/search/images/home-social-share-lockup.png,2022-05-31T13:29:17Z,The official Google tool for testing your structured data to see which Google rich results can be generated by the structured data on your page. You can also preview how rich results can look in Goog… [+9 chars]
23,"{'id': None, 'name': 'Premium Times'}",Bisi Abidoye,"What Tambuwal told Ayu, Saraki, Bala Mohammed before stepping down for Atiku - Premium Times","Atiku, with the last-minute support for his candidature by Mr Tambuwal , Atiku overwhelmed Rivers State Governor, Nyesom Wike....",https://www.premiumtimesng.com/news/headlines/533831-what-tambuwal-told-ayu-saraki-bala-mohammed-before-stepping-down-for-atiku.html,https://media.premiumtimesng.com/wp-content/files/2022/04/Capture-3.jpg,2022-05-31T13:22:20Z,"On Sunday, the National Chairman of the Peoples Democratic Party (PDP), Iyorchia Ayu, described the Governor of Sokoto State, Aminu Tambuwal, as the hero of the partys presidential convention where o… [+4800 chars]"
24,"{'id': None, 'name': 'Daily Post Nigeria'}",Williams Anuku,"APC Primary: Our flagbearer must elicit victory, confidence before presidential election – Buhari - Daily Post Nigeria",President Muhammadu Buhari has told governors and stakeholders of the ruling All Progressives Congress (APC) that the forthcoming primary election slated for June 6 to 8 must produce a candidate that would give the Nigerian masses a sense of victory and confi…,https://dailypost.ng/2022/05/31/apc-primary-our-flagbearer-must-elicit-victory-confidence-before-presidential-election-buhari/,https://dailypost.ng/wp-content/uploads/2022/01/Buhari.jpeg,2022-05-31T13:18:54Z,President Muhammadu Buhari has told governors and stakeholders of the ruling All Progressives Congress (APC) that the forthcoming primary election slated for June 6 to 8 must produce a candidate that… [+3156 chars]
25,"{'id': None, 'name': 'The Indian Express'}",Liz Mathew,"In Rajya Sabha list, BJP sticks to OBC-Dalit winning formula - The Indian Express","Mukhtar Abbas Naqvi, who was not renominated, may get a key post or will be fielded in UP LS by-poll, say party insiders.",https://indianexpress.com/article/india/political-pulse/in-rajya-sabha-list-bjp-sticks-to-obc-dalit-winning-formula-7945833/,https://images.indianexpress.com/2022/05/Rajya-sabha.jpg,2022-05-31T13:16:04Z,"At a time when political parties, including its allies, are escalating demands for a caste census, the BJP has chosen its formula of political empowerment of the Other Backward Classes (OBCs) and Dal… [+4217 chars]"
26,"{'id': 'engadget', 'name': 'Engadget'}",https://www.engadget.com/about/editors/jon-fingas,Watch NASA's Mars helicopter complete a record-setting flight - Engadget,NASA's Mars helicopter has shared video of its record 25th flight..,https://www.engadget.com/nasa-mars-helicopter-ingenuity-flight-video-131524301.html,https://s.yimg.com/os/creatr-uploaded-images/2022-05/b2266e20-e0dd-11ec-bbfb-32c2592c2198,2022-05-31T13:15:57Z,"NASA's Ingenuity helicopter is still pushing boundaries long after its first Mars liftoff. As CNETnotes, the space agency has shared video of Ingenuity's milestone 25th flight on April 8th, when it b… [+1018 chars]"
27,"{'id': None, 'name': 'YouTube'}",,iQOO Neo 6 Unboxing & First Look: Fastest phone under Rs 30000? - The Financial Express,"iQOO’s first ""Neo"" series phone, the iQOO Neo 6, is here. The new phone boasts of a fast 120Hz AMOLED display, Qualcomm’s Snapdragon 870 chip, 64MP triple re...",https://www.youtube.com/watch?v=OznNXqHjHdk,https://i.ytimg.com/vi/OznNXqHjHdk/maxresdefault.jpg,2022-05-31T13:13:46Z,
28,"{'id': None, 'name': 'Phys.Org'}",Science X staff,Functional nonlinear optical nanoparticles synthesized by laser ablation - Phys.org,"Nonlinear optics is an important research direction with various applications in laser manufacturing, nanostructures' fabrication, sensor design, optoelectronics, biophotonics, and quantum optics, etc. Nonlinear optical materials are the fundamental building …",https://phys.org/news/2022-05-functional-nonlinear-optical-nanoparticles-laser.html,https://scx2.b-cdn.net/gfx/news/2022/functional-nonlinear-o.jpg,2022-05-31T13:09:06Z,"Nonlinear optics is an important research direction with various applications in laser manufacturing, nanostructures' fabrication, sensor design, optoelectronics, biophotonics, and quantum optics, et… [+5407 chars]"
29,"{'id': 'news24', 'name': 'News24'}",Fin24 team,Treasury extends general fuel levy cut - News24,"Treasury has decided to grant an extension of the reduction in the general fuel levy, which will soften the fuel price hike on Wednesday.",https://www.news24.com/fin24/economy/giant-fuel-price-hike-avoided-as-government-steps-in-20220531,https://cdn.24.co.za/files/Cms/General/d/4142/b21d6b3292a943f59f1b018f93caa438.jpg,2022-05-31T13:05:46Z,"Treasury has decided to grant an extension of the reduction in the general fuel levy, which will soften the fuel price hike on Wednesday.The petrol levy was cut by R1.50 a litre for April and May as … [+2622 chars]"
30,"{'id': None, 'name': 'GIVEMESPORT'}",Luke Weaser-Seychell,eFootball 2022 Update 1.2.0: Everything We Know So Far - GIVEMESPORT,eFootball 2022 will be releasing patch 1.2.0 in the near future and we have all the latest information around this upcoming update.,https://www.givemesport.com/88015650-efootball-2022-update-1-2-0-everything-we-know-so-far,https://cdn.givemesport.com/wp-content/uploads/2022/01/21_11_05_848e5fb825fe6578da358d11f71d4343_1216-1.jpg,2022-05-31T13:03:51Z,"eFootball 2022 will be releasing patch 1.2.0 shortly and we have all the latest information around this upcoming update.
The game, made by Konami, is a successor of the very popular football gaming … [+2173 chars]"
31,"{'id': None, 'name': 'The Guardian'}",Samuel Gibbs,Sonos Ray soundbar review: the cheaper compact TV audio upgrade - The Guardian,"Smaller all-in-one wifi speaker packs the best of Sonos for powerful movies, music and multiroom audio – at a lower price",https://amp.theguardian.com/technology/2022/may/31/sonos-ray-soundbar-review-the-cheaper-compact-tv-audio-upgrade,,2022-05-31T13:01:00Z,"GadgetsSmaller all-in-one wifi speaker packs the best of Sonos for powerful movies, music and multiroom audio at a lower price
Tue 31 May 2022 09.00 EDT
Sonoss latest compact soundbar, the Ray, has… [+7859 chars]"
32,"{'id': None, 'name': 'CNBC'}",Diana Olick,"Home prices surged over 20% in March as interest rates also rose, according to S&P Case-Shiller - CNBC","Home prices continued to increase their gains, despite slower sales and higher mortgage rates.",https://www.cnbc.com/2022/05/31/home-prices-surged-in-march-as-interest-rates-also-rose-sp-case-shiller.html,https://image.cnbcfm.com/api/v1/image/107052250-Unknown-4.jpg?v=1651063935&w=1920&h=1080,2022-05-31T13:00:05Z,"Rising mortgage rates did not slow down rising home prices in March.
Nationally, home prices were 20.6% higher than they were in March 2021, according to the S&amp;P CoreLogic Case-Shiller Home Pric… [+2188 chars]"
33,"{'id': None, 'name': 'Www.geo.tv'}",Web Desk,Kim Kardashian sparks break up rumours with Pete Davidson - Geo News,"Kim Kardashian said, “Bad News-Nothing lasts forever, Good News- Nothing lasts forever.”",https://www.geo.tv/latest/420059-kim-kardashian-sparks-break-up-rumours-with-pete-davidson,https://www.geo.tv/assets/uploads/updates/2022-05-31/420059_060403_updates.jpg,2022-05-31T13:00:00Z,"US reality TV star Kim Kardashian has sparked rumours of her break up with new boyfriend Pete Davidson shortly after they arrived in London.
The Keeping Up With The Kardashians star took to Instagra… [+434 chars]"
34,"{'id': None, 'name': 'Aop.org.uk'}",Selina Powell,A whistlestop tour of myopia management - Association of Optometrists,Professor Ed Mallen outlined the case for slowing myopia progression and the effectiveness of management options at 100% Optical,https://www.aop.org.uk/ot/science-and-vision/research/2022/05/31/a-whistlestop-tour-of-myopia-management,https://www.aop.org.uk/-/media/ot/content-images-post-image-optimisation/2022/science-and-vision/research/childpinkglasses.jpg?rev=3d38f8ca8a3445219781bf8bf7fa8962,2022-05-31T12:52:50Z,"Professor Ed Mallen shared the latest insight on myopia during his presentation Myopia – pathways to therapy at 100% Optical (London ExCel, 23-25 April).
The University of Bradford academic told att… [+2745 chars]"
35,"{'id': None, 'name': 'Hiper.fm'}",Miguel Catarino,Big Brother: Bruna Gomes faz apelo e fãs não têm dúvidas: “Justa vencedora…” - Hiper Fm,Bruna Gomes merece vencer o Big Brother - Desafio Final?,https://www.hiper.fm/big-brother-bruna-gomes-faz-apelo-e-fas-nao-tem-duvidas-justa-vencedora/,https://www.hiper.fm/wp-content/uploads/2022/05/Bruna-Gomes-11-1000x600.jpg,2022-05-31T12:52:48Z,"Bruna Gomes é uma das quatro finalistas desta edição do Big Brother – Desafio Final que chega ao fim no próximo domingo, dia 5 de junho. Com o intuito de apelar ao voto, a influenciadora fez um vídeo… [+761 chars]"
36,"{'id': None, 'name': 'Malaysiakini'}",Ng Xiang Yi,Vinosiny's family to take legal action against UUM - Malaysiakini,Their lawyer says they will claim damages.,https://www.malaysiakini.com/news/623112,https://i.newscdn.net/publisher-c1a3f893382d2b2f8a9aa22a654d9c97/2022/05/9d2fce099d30f492b937f33ea7416c24.jpg,2022-05-31T12:52:23Z,"The family of the late S Vinosiny is taking legal action against Universiti Utara Malaysia (UUM) for negligence which resulted in the death of the 20-year-old accounting student, said the familys law… [+130 chars]"
37,"{'id': None, 'name': 'Nairametrics'}",Justina Mboho,"Online fraud: How EFCC, INTERPOL bursted three Nigerian scammers in ‘Operation Killer Bee’ - Nairametrics",The Economic and Financial Crimes Commission (EFCC) has announced the arrest of three suspected Nigerian scammers. They were arrested in,https://nairametrics.com/2022/05/31/online-fraud-how-efcc-interpol-bursted-three-nigerian-scammers-in-operation-killer-bee/,https://nairametrics.com/wp-content/uploads/2022/05/EFCC-23.png,2022-05-31T12:46:29Z,"The Economic and Financial Crimes Commission (EFCC) has announced the arrest of three suspected Nigerian scammers.
They were arrested in an INTERPOL-led sting operation targeting malware cyber fraud… [+2984 chars]"
38,"{'id': 'cnn', 'name': 'CNN'}",Travis Caldwell,'She was going to be someone.' Families and friends remember the victims of the Uvalde school massacre as the first funerals are held - CNN,Ten-year-old Maite Rodriguez wanted to be a marine biologist before she could say the words.,https://www.cnn.com/2022/05/31/us/uvalde-texas-elementary-school-shooting-tuesday/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/220530235724-uvalde-texas-elementary-school-shooting-tuesday.jpg?c=16x9&q=w_800,c_fill",2022-05-31T12:46:00Z,"Ten-year-old Maite Rodriguez wanted to be a marine biologist before she could say the words.
She loved animals, cousin Destiny Esquivel told CNNs Adrienne Broaddus on Monday. She was determined. She… [+6893 chars]"
39,"{'id': None, 'name': 'Sporting News'}",,12試合15ゴールのベンゼマがCL最優秀選手に選出 - Goal.com,"Get the latest soccer news, rumors, video highlights, scores, schedules, standings, photos, player information and more from Sporting News Canada",https://www.sportingnews.com/ca/soccer,https://static.sportingnews.com/1.10.0.12/themes/custom/tsn/logo.jpg,2022-05-31T12:38:30Z,
40,"{'id': 'cnn', 'name': 'CNN'}","Joan Biskupic, CNN legal analyst & Supreme Court biographer",Exclusive: Supreme Court leak investigation heats up as clerks are asked for phone records in unprecedented move - CNN,"Supreme Court officials are escalating their search for the source of the leaked draft opinion that would overturn Roe v. Wade, taking steps to require law clerks to provide cell phone records and sign affidavits, three sources with knowledge of the efforts h…",https://www.cnn.com/2022/05/31/politics/supreme-court-roe-v-wade-leak-phone-records/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220527153511-abortion-rights-protest-file-051422-super-tease.jpg,2022-05-31T12:37:00Z,
41,"{'id': None, 'name': 'Pna.gov.ph'}",Ferdinand Patinio,PRRD kept his promise to make OFW lives better: Bello - pna.gov.ph,"MANILA – As the Duterte administration will soon be bidding goodbye, the Department of Labor and Employment (DOLE) is certain that the government has kept its promise to overseas Filipino workers (OFWs) to provide them with a better life.DOLE Secretary Silves…",https://www.pna.gov.ph/articles/1175605,https://files01.pna.gov.ph/ograph/2022/05/31/20220531113249049a3198.jpg,2022-05-31T12:35:00Z,"(PNA photo by Avito C. Dalan) 
MANILA – As the Duterte administration will soon be bidding goodbye, the Department of Labor and Employment (DOLE) is certain that the government has kept its promise … [+6296 chars]"
42,"{'id': None, 'name': 'Hindustan Times'}",HT Sports Desk,India vs South Korea Live Score Asia Cup Hockey: IND 3-3 KOR in third quarter - Hindustan Times,"India vs South Korea Live Score Asia Cup Hockey 2022: In the previous encounter, India bounced back from behind and eked out a 3-3 draw against Malaysia.",https://www.hindustantimes.com/sports/hockey/india-vs-south-korea-live-score-asia-cup-hockey-2022-super-4-match-today-101653992808228.html,https://images.hindustantimes.com/img/2022/05/31/1600x900/Hockey_1653802831290_1653993601303.jpg,2022-05-31T12:34:13Z,"Penalty corner for Korea but India ask for a video referral, which goes into their favour. 
Meanwhile, a brilliant counter attacking opportunity as Korea lose the ball right at the centre, which is … [+208 chars]"
43,"{'id': None, 'name': 'Rolandgarros.com'}",Reem Abulleil,Day 10 Live: Smiling Trevisan battles into semis - Roland-Garros - The 2022 Roland-Garros Tournament official site - Roland-Garros,Follow along as singles quarter-final action begins at Roland-Garros 2022,https://www.rolandgarros.com/en-us/article/rg2022-day-10-live-fernandez-gauff-alcaraz-nadal-djokovic,"https://images.prismic.io/fft-rg-commun-news/5496ed3f-6741-4fce-8a14-e91f0ac07d5e_Coco+Gauff+-+Quart+de+finale+Roland-Garros+2022+-+Nicolas+Gouhier+FFT.jpg?auto=compress,format",2022-05-31T12:33:39Z,"Smiling Trevisan battles past Fernandez
Earlier on centre court, Trevisan became the first Italian woman to reach the Roland-Garros semi-finals since Sara Errani in 2013 thanks to an impressive 6-2,… [+642 chars]"
